fold,accuracy,precision,recall,f1,roc_auc
1,0.819672131147541,0.84,0.75,0.7924528301886793,0.9074675324675324
2,0.7704918032786885,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.8533549783549784
3,0.7049180327868853,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.8089826839826839
4,0.8,0.8260869565217391,0.7037037037037037,0.76,0.925364758698092
5,0.9,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9497767857142857
